country,director,spine_number,title,url,year_of_release,aspect_ratio,blurb,cast,colour,credits,films_contained,formats,language,run_time,special_features,decade_of_release,dvd,bluray,english,boxset,boxsets_contained_in,available_individually,included_in_boxset,continent
Italy,Federico Fellini,189.0,The White Sheik,https://www.criterion.com/films/374-the-white-sheik,1952.0,1.37:1,"Federico Fellini drew upon his background as a cartoonist for his first solo feature, a charming comic fable about the lure of fantasy and the pitfalls of temptation. In Rome for her honeymoon, a wide-eyed newlywed (Brunella Bovo) sneaks away from her straitlaced groom (Leopoldo Trieste) and goes in search of the White Sheik (Alberto Sordi), the dashing hero of a photographed comic strip of which she is enamored--but soon discovers that her romantic ideal may be only an illusion. Featuring a memorable appearance by Giulietta Masina (playing the character she would reprise in Nights of Cabiria) and Fellini's first collaboration with composer Nino Rota, The White Sheik finds the director already taking up one of his favorite themes: the alchemical interplay between life and art, imagination and reality.","Alberto Sordi, Brunella Bovo, Leopoldo Trieste, Giulietta Masina",Black & White,Director Federico Fellini Screenplay Federico Fellini Screenplay Tullio Pinelli with the collaboration of Ennio Flaiano From an idea by Michelangelo Antonioni Cinematography Arturo Gallea Editing Rolando Benedetti Music Nino Rota,The White Sheik,DVD,Italian,86.0,"New digital transfer, New video interviews with actors Brunella Bovo and Leopoldo Trieste, and Fellini friend Moraldo Rossi, Essay by critic Jonathan Rosenbaum, New and improved English subtitle translation, Optimal image quality: RSDL dual-layer edition , New digital transfer, New video interviews with actors Brunella Bovo and Leopoldo Trieste, and Fellini friend Moraldo Rossi, Essay by critic Jonathan Rosenbaum, New and improved English subtitle translation, Optimal image quality: RSDL dual-layer edition",1950.0,1,0,0,0,,1.0,0,Europe
United States,Whit Stillman,,"A Whit Stillman Trilogy: Metropolitan, Barcelona, The Last Days of Disco",https://www.criterion.com/boxsets/1179-a-whit-stillman-trilogy-i-metropolitan-barcelona-the-last-days-of-disco-i,,,"Over the course of the 1990s, writer-director Whit Stillman made a trilogy of films about the acid tongues and broken hearts of some haplessly erudite young Americans in New York and abroad. Set in the eighties, these films trace the arc of that decade, led by Stillman's Oscar-nominated debut, Metropolitan, which introduced moviegoers to a strange, endangered species of privileged New Yorker, the ""urban haute bourgeoisie."" Chronologically, the tale continues with The Last Days of Disco, in which, with an earnest wink, Stillman mourns the close of New York's nightclub era via the story of two young party-going women juggling day jobs in book publishing. Finally, Barcelona plunks down a pair of love-starved upper-class men in a foreign city rife with anti-American sentiment. At once effervescent and melancholy, these are comedies about the ends of cultural moments, social change as seen through the eyes of reluctant, unflaggingly sardonic romantics.",,,,"The Last Days of Disco, Metropolitan, Barcelona","Blu-Ray, DVD",,,"Restored high-definition digital transfer of Metropolitan, supervised by director Whit Stillman and cinematographer John Thomas, with uncompressed monaural soundtrack on the Blu-ray; restored high-definition digital transfer of The Last Days of Disco, supervised by Stillman, with 5.1 surround DTS-HD Master Audio soundtrack on the Blu-ray; new, restored 2K digital transfer of Barcelona, supervised by Stillman and Thomas, with 2.0 surround DTS-HD Master Audio soundtrack on the Blu-ray, Audio commentaries on all three films, featuring Stillman and cast and crew members, Outtakes, alternate scenes, and deleted scenes, with commentary, New video essay about the trilogy by film critic Farran Smith Nehme, Featurettes about the making of The Last Days of Disco and Barcelona, Appearances by Stillman on The Dick Cavett Show in 1991 and on the Today show and Charlie Rose in 1994, Audio recording of Stillman reading a chapter from his book The Last Days of Disco, with Cocktails at Petrossian Afterwards, Stills gallery for The Last Days of Disco, with captions by Stillman, Trailers for all three films, English subtitles for the deaf and hard of hearing, PLUS: Essays by author Luc Sante, novelist David Schickler, and film scholar Haden Guest",,1,1,0,1,,,0,North America
France,William Klein,,"Who Are You, Polly Maggoo?",https://www.criterion.com/films/902-who-are-you-polly-maggoo,1966.0,1.66:1,"After nearly a decade as American Vogue's most subversive fashion photographer, William Klein made this wild, pseudoverite incursion into the world of Parisian haute couture. Elegant, scathing humor ties together the various strands of this alternately glamorous and grotesque portrait of American in Paris Polly Maggoo (Dorothy MacGowan), an Alice in Wonderland supermodel who becomes the pinup plaything of media hounds and the fragmented fantasy of haunted Prince Igor (Sami Frey). Klein's first fiction film is a daring deflation of cultural pretensions and institutions, dressed up in brilliant black and white.","Dorothy MacGowan, Jean Rochefort, Sami Frey, Grayson Hall, Philippe Noiret, Alice Sapritch, Jacques Seiler, Pierre Baillot, Roland Topor",Black & White,Director William Klein Producer Robert Delpire Screenplay William Klein Cinematography Jean Boffety Editing Anne-Marie Cotret Editing Annie-France Lebrun Editing Jacqueline Simoni Music Michel Legrand Costumes Janine Klein,"Who Are You, Polly Maggoo?",,French,101.0,,1960.0,0,0,0,0,,0.0,0,Europe
United Kingdom,Leslie Arliss,,The Wicked Lady,https://www.criterion.com/films/28017-the-wicked-lady,1945.0,1.33:1,"Margaret Lockwood devours the screen as a tightly wound seventeenth-century beauty with loose morals, who steals her best friend's wealthy fiance on the eve of their wedding. And that's only the beginning of this piece of pulp from director Leslie Arliss--there are no depths to which this sinful woman won't sink. James Mason costars, and nearly steals the movie, as a highwayman with whom our antiheroine becomes entangled. This nasty, subversive treat was the most commercially successful of all the Gainsborough melodramas.","Margaret Lockwood, James Mason, Patricia Roc, Griffith Jones, Michael Rennie, Felix Aylmer, Enid Stamp Taylor, Jean Kent",Black & White,Director Leslie Arliss Producer R. J. Minney From the novel The Life and Death of the Wicked Lady Skelton by Magdalen King-Hall Screenplay Leslie Arliss Additional dialogue by Gordon Glennon Additional dialogue by Aimee Stuart Cinematography Jack Cox Editor Terence Fisher Art director John Bryan Musical direction Louis Levy,The Wicked Lady,,English,104.0,,1940.0,0,0,1,0,,0.0,0,Europe
United States,Norman Mailer,,Wild 90,https://www.criterion.com/films/28070-wild-90,1968.0,1.33:1,"Norman Mailer's first feature filmmaking effort stars the director and his two longtime collaborators Buzz Farbar and Mickey Knox as a trio of gangsters holed up in a ramshackle New York apartment, drinking, braying, and fighting. Mailer once claimed that he viewed making movies as ""free psychoanalysis,"" and this bristly, stripped-down experiment in improvisation shows a filmmaker baring himself for all to see.","Norman Mailer, Buzz Farbar, Mickey Knox, Beverly Bentley, Ramona Torres, Jose Torres, Harold Conrad, Milton Richard, Macklin Adler, D. A. Pennebaker, Bryan Hamill, Mara Lynn",Black & White,Director Norman Mailer Produced by Buzz Farbar Produced by Mickey Knox Produced by Norman Mailer Cinematography D. A. Pennebaker Editing Jan Pieter Welt Editing Norman Mailer Music Charlie Brown,Wild 90,,English,81.0,,1960.0,0,0,1,0, Eclipse Series 35: Maidstone and Other Films by Norman Mailer,0.0,1,North America
United States,Paul Dano,1031.0,Wildlife,https://www.criterion.com/films/29644-wildlife,2018.0,1.85:1,"The directorial debut of actor Paul Dano reveals a filmmaking talent of remarkable intelligence and restraint. Adapted by Dano and Zoe Kazan from the novel by Richard Ford, this meticulously crafted portrait of the American nuclear family in crisis charts the rift that forms within a 1960s Montana household when the father and breadwinner (Jake Gyllenhaal) abruptly departs to fight the forest fires raging nearby, leaving his restless wife (Carey Mulligan, in a performance of fearless emotional honesty) and teenage son (Ed Oxenbould) to pick up the pieces. A deeply human look at a woman's wayward journey toward self-fulfillment in the pre-women's-liberation era and a sensitively observed, child's-eye coming-of-age tale, Wildlife poignantly illuminates the complex ways in which families function, fall apart, and find their way.","Carey Mulligan, Ed Oxenbould, Bill Camp, Jake Gyllenhaal",Color,Director Paul Dano Screenplay by Paul Dano Screenplay by Zoe Kazan Based on the book by Richard Ford Produced by Andrew Duncan Produced by Alex Saks Produced by Paul Dano Produced by Oren Moverman Produced by Ann Ruark Produced by Jake Gyllenhaal Produced by Riva Marker Executive producer Zoe Kazan Executive producer Ted Deiker Executive producer Eddie Vaisman Executive producer Bess Weatherman Director of photography Diego Garcia Production designer Akin McKenzie Edited by Matthew Hannam Edited by Louise Ford Costume designer Amanda Ford Composer David Lang,Wildlife,"Blu-Ray, DVD",English,105.0,"New 2K digital master, with 5.1 surround DTS-HD Master Audio soundtrack on the Blu-ray, New interviews with director Paul Dano, screenwriter Zoe Kazan, actors Carey Mulligan and Jake Gyllenhaal, cinematographer Diego Garcia, production designer Akin McKenzie, and costume designer Amanda Ford, New conversation on the film's postproduction with Dano, editor Matthew Hannam, and composer David Lang, Film at Lincoln Center conversation from 2018 between Dano and novelist Richard Ford about the film's source material, English subtitles for the deaf and hard of hearing, PLUS: An essay by critic Mark Harris, New 2K digital master, with 5.1 surround DTS-HD Master Audio soundtrack on the Blu-ray, New interviews with director Paul Dano, screenwriter Zoe Kazan, actors Carey Mulligan and Jake Gyllenhaal, cinematographer Diego Garcia, production designer Akin McKenzie, and costume designer Amanda Ford, New conversation on the film's postproduction with Dano, editor Matthew Hannam, and composer David Lang, Film at Lincoln Center conversation from 2018 between Dano and novelist Richard Ford about the film's source material, English subtitles for the deaf and hard of hearing, PLUS: An essay by critic Mark Harris",2010.0,1,1,1,0,,1.0,0,North America
Sweden,Ingmar Bergman,139.0,Wild Strawberries,https://www.criterion.com/films/175-wild-strawberries,1957.0,1.33:1,"Traveling to accept an honorary degree, Professor Isak Borg--masterfully played by the veteran filmmaker and actor Victor Sjostrom--is forced to face his past, come to terms with his faults, and make peace with the inevitability of his approaching death. Through flashbacks and fantasies, dreams and nightmares, Wild Strawberries dramatizes one man's remarkable voyage of self-discovery. This richly humane masterpiece, full of iconic imagery, is one of Ingmar Bergman's most widely acclaimed and influential films.","Victor Sjostrom, Bibi Andersson, Ingrid Thulin, Gunnar Bjornstrand, Jullan Kindahl, Folke Sundquist, Bjorn Bjelfvenstam, Naima Wifstrand, Gunnel Brostrom, Gertrud Fridh, Ake Fridell, Sif Ruud, Gunnar Sjoberg, Max von Sydow",Black & White,Director Ingmar Bergman Written by Ingmar Bergman Director of photography Gunnar Fischer Sets Gittan Gustafsson Music Erik Nordgren Editor Oscar Rosander Sound Aaby Wedin Sound Lennart Wallin Costumes Millie Strom Production supervisor Allan Ekelund,Wild Strawberries,"Blu-Ray, DVD",Swedish,92.0,"Digital film transfer, newly restored and with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary featuring film scholar Peter Cowie, Introduction by director Ingmar Bergman (Blu-ray only), Ingmar Bergman on Life and Work, a ninety-minute documentary by filmmaker and author Jorn Donner, Behind-the-scenes footage shot by Bergman (Blu-ray only), Stills gallery, featuring rare behind-the-scenes photos (DVD only), PLUS: A new essay by Peter Cowie on the DVD edition and a booklet featuring a new essay by film writer Mark Le Fanu on the Blu-ray edition New cover by Christine Ditrio, Digital film transfer, newly restored and with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary featuring film scholar Peter Cowie, Introduction by director Ingmar Bergman (Blu-ray only), Ingmar Bergman on Life and Work, a ninety-minute documentary by filmmaker and author Jorn Donner, Behind-the-scenes footage shot by Bergman (Blu-ray only), Stills gallery, featuring rare behind-the-scenes photos (DVD only), PLUS: A new essay by Peter Cowie on the DVD edition and a booklet featuring a new essay by film writer Mark Le Fanu on the Blu-ray edition New cover by Christine Ditrio",1950.0,1,1,0,0,,1.0,0,Europe
Germany,Wim Wenders,813.0,Wim Wenders: The Road Trilogy,https://www.criterion.com/boxsets/1186-wim-wenders-the-road-trilogy,,,"In the 1970s, Wim Wenders was among the first true international breakthrough artists of the revolutionary New German Cinema movement, a filmmaker whose fascination with the physical landscapes and emotional contours of the open road proved to be universal. In the middle of that decade, Wenders embarked on a three-film journey that took him from the wide roads of Germany to the endless highways of the United States and back again. Each starring Rudiger Vogler as the director's alter ego, Alice in the Cities, Wrong Move, and Kings of the Road are dramas of emotional transformation that follow their characters' searches for themselves, all rendered with uncommon soulfulness and visual poetry.",,,,"Kings of the Road, Alice in the Cities, Wrong Move","Blu-Ray, DVD",,,"New, restored 4K digital transfers of all three films, commissioned by the Wim Wenders Foundation and supervised by director Wim Wenders, with uncompressed monaural soundtrack on the Blu-ray of Alice in the Cities and 5.1 surround DTS-HD Master Audio soundtracks on the Blu-rays of Wrong Move and Kings of the Road, Audio commentaries on all three films, New interview with Wenders, directed and conducted by filmmaker Michael Almereyda, New interviews with actors Rudiger Vogler, Yella Rottlander, Lisa Kreuzer, and Hanns Zischler, Outtakes and Super 8 footage, Restoring Time, a 2015 short about the restoration work done by the Wim Wenders Foundation, Same Player Shoots Again (1967) and Silver City Revisited (1968), two newly restored early short films by Wenders, New English subtitle translations by Wenders, More!, PLUS: A book featuring essays on the films by Almereyda, filmmaker Allison Anders, author James Robison, and critic Nick Roddick",,1,1,0,1,,,0,Europe
Soviet Union,Larisa Shepitko,,Wings,https://www.criterion.com/films/560-wings,1966.0,1.33:1,"For her first feature after graduating from the All-Russian State Institute for Cinematography (VGIK), Larisa Shepitko trained her lens on the fascinating Russian character actress Maya Bulgakova, who gives a marvelous performance as a once heroic Russian fighter pilot now living a quiet, disappointingly ordinary life as a school principal. Subtly portraying one woman's desperation with elegant, spare camera work and casual, fluid storytelling, Shepitko, with Wings, announced herself as an important new voice in Soviet cinema.","Maya Bulgakova, Zhanna Bolotova, Pantelemion Krymov, Leonid Dyachkov, Vladimir Gorelov, Yury Medvedev, Nikolay Grabbe",Black & White,Director Larisa Shepitko Producer E. Maslov Screenplay Valentin Yezhov Screenplay Natalya Ryazantseva Cinematography Igor Slabnevich Editing L. Lysenkova Art director Ivan Plastinkin Music Roman Ledenev,Wings,,Russian,85.0,,1960.0,0,0,0,0,,0.0,0,Europe
Germany,Wim Wenders,490.0,Wings of Desire,https://www.criterion.com/films/200-wings-of-desire,1987.0,1.66:1,"Wings of Desire is one of cinema's loveliest city symphonies. Bruno Ganz is Damiel, an angel perched atop buildings high over Berlin who can hear the thoughts--fears, hopes, dreams--of all the people living below. But when he falls in love with a beautiful trapeze artist, he is willing to give up his immortality and come back to earth to be with her. Made not long before the fall of the Berlin wall, this stunning tapestry of sounds and images, shot in black and white and color by the legendary Henri Alekan, is movie poetry. And it forever made the name Wim Wenders synonymous with film art.","Bruno Ganz, Solveig Dommartin, Otto Sander, Curt Bois, Peter Falk",Color,Director Wim Wenders Written by Wim Wenders together with Peter Handke Director of photography Henri Alekan Executive producer Ingrid Windisch Music Jurgen Knieper Editing Peter Przygodda Assistant director Claire Denis Art director Heidi Ludi,Wings of Desire,"Blu-Ray, DVD","German, English, French",127.0,"New, restored high-definition digital transfer, supervised and approved by director Wim Wenders, with DTS-HD Master Audio 5.1 soundtrack on the Blu-ray, Audio commentary featuring Wenders and actor Peter Falk, The Angels Among Us (2003), a documentary featuring interviews with Wenders, Falk, actors Bruno Ganz and Otto Sander, writer Peter Handke, and composer Jurgen Knieper, ""Wim Wenders Berlin Jan. 87,"" an episode of the French television program Cinema cinemas, including on-set footage, Interview with director of photography Henri Alekan, Deleted scenes and outtakes , Excerpts from the films Alekan la lumiere (1985) and Remembrance: Film for Curt Bois (1982), Notes and photos by art directors Heidi Ludi and Toni Ludi, Trailers, New and improved English subtitle translation, PLUS: A booklet featuring a new essay by critic Michael Atkinson and writings by Handke and Wenders , New, restored high-definition digital transfer, supervised and approved by director Wim Wenders, with DTS-HD Master Audio 5.1 soundtrack on the Blu-ray, Audio commentary featuring Wenders and actor Peter Falk, The Angels Among Us (2003), a documentary featuring interviews with Wenders, Falk, actors Bruno Ganz and Otto Sander, writer Peter Handke, and composer Jurgen Knieper, ""Wim Wenders Berlin Jan. 87,"" an episode of the French television program Cinema cinemas, including on-set footage, Interview with director of photography Henri Alekan, Deleted scenes and outtakes , Excerpts from the films Alekan la lumiere (1985) and Remembrance: Film for Curt Bois (1982), Notes and photos by art directors Heidi Ludi and Toni Ludi, Trailers, New and improved English subtitle translation, PLUS: A booklet featuring a new essay by critic Michael Atkinson and writings by Handke and Wenders",1980.0,1,1,1,0,,1.0,0,Europe
Sweden,Ingmar Bergman,210.0,Winter Light,https://www.criterion.com/films/569-winter-light,1963.0,1.37:1,"""God, why hast thou forsaken me?"" With Winter Light, Ingmar Bergman explores the search for redemption in a meaningless existence. Small-town pastor Tomas Ericsson (Gunnar Bjornstrand) performs his duties mechanically before a dwindling congregation, including his stubbornly devoted lover, Marta (Ingrid Thulin). When he is asked to assuage a troubled parishioner's (Max von Sydow) debilitating fear of nuclear annihilation, Tomas is terrified to find that he can provide nothing but his own doubt. The beautifully photographed Winter Light is an unsettling look at the human craving for personal validation in a world seemingly abandoned by God.","Gunnar Bjornstrand, Ingrid Thulin, Gunnel Lindblom, Max von Sydow, Allan Edwall, Kolbjorn Knudsen, Olof Thunberg, Elsa Ebbesen, Eddie Axberg",Black & White,Director Ingmar Bergman Written by Ingmar Bergman Cinematographer Sven Nykvist Editor Ulla Ryghe Assistant director Lenn Hjortzberg Assistant director Vilgot Sjoman Art director P. A. Lundgren Production manager Allan Ekelund Sound Stig Flodin Sound Brian Wikstrom Sound effects Evald Andersson Costume design Mago Makeup Borje Lundh Unit manager Lars-Owe Carlberg Script continuity Katinka Farago,Winter Light,,Swedish,81.0,"On the DVD: High-definition digital transfer, On the Blu-ray: New 2K digital restoration, with uncompressed monaural soundtrack, Introduction to the film by director Ingmar Bergman, recorded in 2003 (Blu-ray only), Interview from 2003 with film scholar Peter Cowie, Ingmar Bergman Makes a Movie, a five-part documentary by Vilgot Sjoman made for Swedish television during the production of Winter Light, With the DVD: An essay by Peter Cowie, Original U.S. theatrical trailer, Alternate English-dubbed soundtrack, On the DVD: High-definition digital transfer, On the Blu-ray: New 2K digital restoration, with uncompressed monaural soundtrack, Introduction to the film by director Ingmar Bergman, recorded in 2003 (Blu-ray only), Interview from 2003 with film scholar Peter Cowie, Ingmar Bergman Makes a Movie, a five-part documentary by Vilgot Sjoman made for Swedish television during the production of Winter Light, With the DVD: An essay by Peter Cowie, Original U.S. theatrical trailer, Alternate English-dubbed soundtrack",1960.0,0,0,0,0, A Film Trilogy by Ingmar Bergman,1.0,1,Europe
United States,John Huston,470.0,Wise Blood,https://www.criterion.com/films/1424-wise-blood,1979.0,1.78:1,"In this acclaimed adaptation of the first novel by legendary Southern writer Flannery O'Connor, John Huston vividly brings to life her poetic world of American eccentricity. Brad Dourif, in an impassioned performance, is Hazel Motes, who, fresh out of the army, attempts to open the first Church Without Christ in the small town of Taulkinham. Populated with inspired performances that seem to spring right from O'Connor's pages, Huston's Wise Blood is an incisive portrait of spirituality and Evangelicalism, and a faithful, loving evocation of a writer's vision.","Brad Dourif, Ned Beatty, Harry Dean Stanton, Dan Shor, Amy Wright, Mary Nell Santacroce, William Hickey, John Huston",Color,"Director John Huston From the novel by Flannery O'Connor Producer Michael Fitzgerald Producer Kathy Fitzgerald Assistant director Tom Shaw Associate producer Hans Brockmann Music Alex North Editing Roberto Silvi Screenplay Benedict Fitzgerald Screenplay Michael Fitzgerald Cinematography Gerry Fisher, B.S.C.",Wise Blood,DVD,English,105.0,"New, restored high-definition digital transfer, New interviews with actor Brad Dourif, writer Benedict Fitzgerald, and writer-producer Michael Fitzgerald, Rare archival audio recording of author Flannery O'Connor reading her short story ""A Good Man Is Hard to Find"", A 28-minute episode of the television program Creativity with Bill Moyers from 1982, featuring John Huston discussing his life and work, Theatrical trailer, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring an essay by author Francine Prose , New, restored high-definition digital transfer, New interviews with actor Brad Dourif, writer Benedict Fitzgerald, and writer-producer Michael Fitzgerald, Rare archival audio recording of author Flannery O'Connor reading her short story ""A Good Man Is Hard to Find"", A 28-minute episode of the television program Creativity with Bill Moyers from 1982, featuring John Huston discussing his life and work, Theatrical trailer, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring an essay by author Francine Prose",1970.0,1,0,1,0,,1.0,0,North America
United Kingdom,Bruce Robinson,119.0,Withnail and I,https://www.criterion.com/films/658-withnail-and-i,1986.0,1.85:1,"London. The 1960s. Two unemployed actors--acerbic, elegantly wasted Withnail (Richard E. Grant) and the anxiety-ridden ""I"" (Paul McGann)--drown their frustrations in booze, pills, and lighter fluid. When Withnail's Uncle Monty (Richard Griffiths) offers his cottage, they escape the squalor of their flat for a week in the country. They soon realize they've gone on holiday by mistake when their wits--and friendship--are sorely tested by violent downpours, less than hospitable locals, and empty cupboards. An intelligent, superbly acted, and hilarious film, Bruce Robinson's semi-autobiographical cult favorite is presented here in its complete and uncut version.","Paul McGann, Richard E. Grant, Richard Griffiths, Ralph Brown, Michael Elphick",Color,Director Bruce Robinson Producer Paul Heller Producer Lawrence Kirstein Executive producers George Harrison Executive producers Denis O'Brien Co-producer David Wimbury Cinematography Peter Hannan Music David Dundas Music Rick Wentworth Editing Alan Strachan Camera operator Bob Smith Production design Michael Pickwoad,Withnail and I,DVD,English,108.0,"Exclusive uncut widescreen version, supervised by director of photography Peter Hannan, Withnail & Us, a 1999 documentary on the film, Rare preproduction photos by Ralph Steadman, Original theatrical trailer, Limited-edition collectible poster of the original film art by Ralph Steadman, English subtitles for the deaf and hard of hearing, Exclusive uncut widescreen version, supervised by director of photography Peter Hannan, Withnail & Us, a 1999 documentary on the film, Rare preproduction photos by Ralph Steadman, Original theatrical trailer, Limited-edition collectible poster of the original film art by Ralph Steadman, English subtitles for the deaf and hard of hearing",1980.0,1,0,1,0,,1.0,0,Europe
Japan,Hiroshi Teshigahara,394.0,Woman in the Dunes,https://www.criterion.com/films/826-woman-in-the-dunes,1964.0,1.33:1,"One of the 1960s' great international art-house sensations, Woman in the Dunes (Suna no onna) was for many the grand unveiling of the surreal, idiosyncratic world of Hiroshi Teshigahara. Eiji Okada plays an amateur entomologist who has left Tokyo to study an unclassified species of beetle found in a vast desert. When he misses his bus back to civilization, he is persuaded to spend the night with a young widow (Kyoko Kishida) in her hut at the bottom of a sand dune. What results is one of cinema's most unnerving and palpably erotic battles of the sexes, as well as a nightmarish depiction of everyday life as a Sisyphean struggle--an achievement that garnered Teshigahara an Academy Award nomination for best director.","Eiji Okada, Kyoko Kishida",Black & White,Director Hiroshi Teshigahara Story from the novel by Kobo Abe Producers Kiichi Ichikawa Producers Tadashi Ono Cinematography Hiroshi Segawa Original music Toru Takemitsu Art directors Totetsu Hirakawa Art directors Masao Yamazaki Editor Fusako Shuzui,Woman in the Dunes,"Blu-Ray, DVD",Japanese,147.0,"New high-definition digital restoration, with uncompressed monaural soundtrack , Video essay on the film from 2007 by film scholar James Quandt, Four short films from director Hiroshi Teshigahara's early career: Hokusai (1953), Ikebana (1956), Tokyo 1958 (1958), and Ako (1965), Teshigahara and Abe, a 2007 documentary examining the collaboration between Teshigahara and novelist Kobo Abe, featuring interviews with film scholars Donald Richie and Tadao Sato, film programmer Richard Pena, set designer Arata Isozaki, producer Noriko Nomura, and screenwriter John Nathan, Trailer, PLUS: An essay by film scholar Audie Bock and a 1978 interview with Teshigahara, New high-definition digital restoration, with uncompressed monaural soundtrack , Video essay on the film from 2007 by film scholar James Quandt, Four short films from director Hiroshi Teshigahara's early career: Hokusai (1953), Ikebana (1956), Tokyo 1958 (1958), and Ako (1965), Teshigahara and Abe, a 2007 documentary examining the collaboration between Teshigahara and novelist Kobo Abe, featuring interviews with film scholars Donald Richie and Tadao Sato, film programmer Richard Pena, set designer Arata Isozaki, producer Noriko Nomura, and screenwriter John Nathan, Trailer, PLUS: An essay by film scholar Audie Bock and a 1978 interview with Teshigahara",1960.0,1,1,0,0, Three Films by Hiroshi Teshigahara,1.0,1,Asia
France,Jean-Luc Godard,238.0,A Woman Is a Woman,https://www.criterion.com/films/854-a-woman-is-a-woman,1961.0,2.35:1,"With A Woman Is a Woman (Une femme est une femme), compulsively innovative director Jean-Luc Godard presents ""a neorealist musical--that is, a contradiction in terms."" Featuring French superstars Anna Karina, Jean-Paul Belmondo, and Jean-Claude Brialy at their peak of popularity, A Woman Is a Woman is a sly, playful tribute to--and interrogation of--the American musical comedy, showcasing Godard's signature wit and intellectual acumen. The film tells the story of exotic dancer Angela (Karina) as she attempts to have a child with her unwilling lover Emile (Brialy). In the process, she finds herself torn between him and his best friend Alfred (Belmondo). A dizzying compendium of color, humor, and the music of renowned composer Michel Legrand, A Woman Is a Woman finds the young Godard at his warmest and most accessible, reveling in and scrutinizing the mechanics of his great obsession: the cinema.","Anna Karina, Jean-Paul Belmondo, Jean-Claude Brialy, Marie Dubois, Jeanne Moreau, Ernest Menzer, Nicole Paquin, Marion Sarraut",Color,Director Jean-Luc Godard Screenplay (based on an idea by Genevieve Cluny) Jean-Luc Godard Producers Georges de Beauregard Producers Carlo Ponti Director of photography Raoul Coutard Music Michel Legrand Production design Bernard Evein Editing Agnes Guillemot Assistant editor Lila Herman Assistant directors Francis Cognany Assistant directors Jean Vigne Stills Raymond Cauchetier Script girl Suzanne Schiffmann Makeup Jackie Raynal Sound Guy Villette Production manager Philippe Dussart,A Woman Is a Woman,DVD,French,84.0,"New high-definition digital transfer, supervised by director of photography Raoul Coutard, with restored image and sound and enhanced for widescreen televisions, Charlotte et Veronique ou Tous les garcons s'appellent Patrick (All the Boys Are Called Patrick, 1957), an early short film by Godard with Jean-Claude Brialy, written by Eric Rohmer, ""Qui etes-vous Anna Karina?""; excerpts from a 1966 French television interview with Karina, Brialy, and Serge Gainsbourg, Publicity for A Woman Is a Woman featuring the original trailer, rare on-set photos by photographer Raymond Cauchetier, a poster and stills gallery, and an audio promotional recording for the film, New and improved English subtitle translation, Optimal image quality: RSDL dual-layer edition, Plus: a 24-page booklet featuring excerpts from a 1961 interview with Godard and director of photography Raoul Coutard about A Woman Is a Woman, and a new essay by film critic J. Hoberman, New high-definition digital transfer, supervised by director of photography Raoul Coutard, with restored image and sound and enhanced for widescreen televisions, Charlotte et Veronique ou Tous les garcons s'appellent Patrick (All the Boys Are Called Patrick, 1957), an early short film by Godard with Jean-Claude Brialy, written by Eric Rohmer, ""Qui etes-vous Anna Karina?""; excerpts from a 1966 French television interview with Karina, Brialy, and Serge Gainsbourg, Publicity for A Woman Is a Woman featuring the original trailer, rare on-set photos by photographer Raymond Cauchetier, a poster and stills gallery, and an audio promotional recording for the film, New and improved English subtitle translation, Optimal image quality: RSDL dual-layer edition, Plus: a 24-page booklet featuring excerpts from a 1961 interview with Godard and director of photography Raoul Coutard about A Woman Is a Woman, and a new essay by film critic J. Hoberman",1960.0,1,0,0,0,,1.0,0,Europe
